epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.2,1.6375,3.5229,1.22328,0.01909,0.42521,0.09107,0.05596,1.51161,3.51006,1.06886,0.00018887,0.00018887,0.00018887
2,572.402,1.51709,2.01376,1.11677,0.02979,0.5315,0.14667,0.09449,1.37383,3.04833,1.02976,0.000381151,0.000381151,0.000381151
3,847.858,1.44846,1.59246,1.09761,0.94962,0.09364,0.24788,0.15211,1.37434,2.85302,1.08776,0.000565512,0.000565512,0.000565512
4,1140.02,1.41588,1.46779,1.09806,0.67062,0.27018,0.36279,0.22459,1.36349,2.25084,1.07506,0.000741955,0.000741955,0.000741955
5,1428.08,1.39655,1.39436,1.10105,0.65515,0.3748,0.42597,0.26656,1.34562,1.84184,1.08718,0.000910478,0.000910478,0.000910478
6,1712.78,1.36738,1.28479,1.07732,0.62247,0.40523,0.4436,0.2718,1.33275,1.87807,1.10273,0.00100101,0.00100101,0.00100101
7,2009.4,1.34216,1.2304,1.07552,0.69926,0.3908,0.46061,0.27188,1.35579,1.93834,1.11712,0.000979013,0.000979013,0.000979013
8,2303.1,1.31905,1.24634,1.07399,0.69276,0.45019,0.54187,0.32461,1.29781,1.55897,1.06939,0.000957015,0.000957015,0.000957015
9,2601.08,1.32379,1.18798,1.06956,0.58712,0.4995,0.54298,0.33015,1.25118,1.38249,1.0596,0.000935018,0.000935018,0.000935018
10,4076.64,1.28545,1.16938,1.05705,0.67429,0.50572,0.55325,0.3448,1.25236,1.35853,1.06242,0.00091302,0.00091302,0.00091302
11,4369.01,1.28718,1.13666,1.05724,0.65674,0.53739,0.58036,0.35125,1.2429,1.25953,1.0598,0.000891022,0.000891022,0.000891022
12,4666.35,1.28083,1.10649,1.0612,0.67121,0.52139,0.58758,0.3595,1.264,1.25978,1.05468,0.000869024,0.000869024,0.000869024
13,4964.9,1.24375,1.08039,1.03649,0.68421,0.55318,0.61934,0.39798,1.20843,1.14293,1.03211,0.000847026,0.000847026,0.000847026
14,5245.54,1.23537,1.02608,1.03503,0.71426,0.57585,0.62928,0.39979,1.20159,1.11722,1.03904,0.000825029,0.000825029,0.000825029
15,5535.25,1.24887,1.0263,1.03466,0.68253,0.61321,0.6486,0.40957,1.19539,1.06454,1.02744,0.000803031,0.000803031,0.000803031
16,5833.33,1.22318,0.99997,1.02287,0.71954,0.61042,0.67203,0.42103,1.19725,1.03333,1.03081,0.000781033,0.000781033,0.000781033
17,6129.25,1.22722,0.9734,1.01856,0.70973,0.61286,0.67608,0.41598,1.20474,1.06887,1.0318,0.000759035,0.000759035,0.000759035
18,6425.6,1.23128,0.9862,1.0235,0.77108,0.61783,0.68888,0.43326,1.16915,1.00734,1.02259,0.000737037,0.000737037,0.000737037
19,6722.79,1.18585,0.98786,1.01967,0.73314,0.61105,0.66173,0.41954,1.1847,1.14457,1.02242,0.00071504,0.00071504,0.00071504
20,7030.38,1.17765,0.97666,1.0125,0.75064,0.61634,0.67665,0.42007,1.16179,1.00569,1.02368,0.000693042,0.000693042,0.000693042
21,7342.31,1.1642,0.93335,1.01232,0.76137,0.60125,0.67082,0.42428,1.18566,1.09081,1.02749,0.000671044,0.000671044,0.000671044
22,7668.18,1.15915,0.89039,1.00216,0.73461,0.59898,0.66581,0.42187,1.17063,1.03198,1.02177,0.000649046,0.000649046,0.000649046
23,8029.54,1.16801,0.91316,1.01567,0.73602,0.62445,0.70443,0.44629,1.16873,0.97459,1.01555,0.000627048,0.000627048,0.000627048
24,8503.15,1.15887,0.92012,1.00654,0.74249,0.64604,0.69506,0.44871,1.16082,0.95386,1.01763,0.000605051,0.000605051,0.000605051
25,9058.56,1.14356,0.89417,0.99734,0.72817,0.6476,0.70263,0.45911,1.14514,0.92244,1.00939,0.000583053,0.000583053,0.000583053
26,9609.14,1.12994,0.87178,0.99633,0.73967,0.64302,0.69185,0.45036,1.14612,0.93762,1.01407,0.000561055,0.000561055,0.000561055
27,10151.5,1.1477,0.86074,0.99881,0.74749,0.64254,0.6974,0.44932,1.15474,0.90921,1.01471,0.000539057,0.000539057,0.000539057
28,10645.2,1.14824,0.85978,0.99496,0.70328,0.65288,0.69494,0.44779,1.15343,0.93541,1.0176,0.000517059,0.000517059,0.000517059
29,11122.6,1.14794,0.8468,1.00113,0.74058,0.64856,0.71148,0.45438,1.16291,0.91059,1.01583,0.000495062,0.000495062,0.000495062
30,11595.2,1.11346,0.81376,0.97113,0.78361,0.65456,0.71436,0.45981,1.14414,0.90003,1.00987,0.000473064,0.000473064,0.000473064
31,11992.2,1.13335,0.84019,0.99336,0.78127,0.64181,0.70575,0.46049,1.13846,0.93192,1.01145,0.000451066,0.000451066,0.000451066
32,12391.1,1.13742,0.81525,0.98674,0.79739,0.63014,0.71092,0.46941,1.13779,0.89389,1.00926,0.000429068,0.000429068,0.000429068
33,12683.7,1.0847,0.81176,0.97811,0.7533,0.66199,0.71783,0.47729,1.12624,0.89181,0.99833,0.00040707,0.00040707,0.00040707
34,12972.2,1.12273,0.80775,0.98907,0.78162,0.67916,0.72945,0.4776,1.12763,0.86192,1.00591,0.000385073,0.000385073,0.000385073
35,13273.9,1.11017,0.79879,0.99051,0.78227,0.67173,0.72935,0.47398,1.13185,0.86319,1.00455,0.000363075,0.000363075,0.000363075
36,13580.9,1.07302,0.78522,0.98689,0.73216,0.66595,0.72322,0.46975,1.13551,0.88301,1.00856,0.000341077,0.000341077,0.000341077
37,13853.9,1.0638,0.77126,0.9736,0.754,0.65311,0.71345,0.4625,1.13244,0.86629,1.00435,0.000319079,0.000319079,0.000319079
38,14125.6,1.05872,0.74915,0.9645,0.74951,0.68578,0.72624,0.47548,1.1179,0.85589,1.00513,0.000297081,0.000297081,0.000297081
39,14396.8,1.06317,0.7657,0.96249,0.74803,0.68138,0.72249,0.47322,1.12687,0.86583,1.0041,0.000275084,0.000275084,0.000275084
40,14668.2,1.07619,0.75921,0.95549,0.75859,0.69226,0.73357,0.47606,1.11928,0.85378,1.00042,0.000253086,0.000253086,0.000253086
41,14933.1,1.05525,0.79866,0.98497,0.7662,0.66764,0.734,0.47861,1.12651,0.94409,1.0032,0.000231088,0.000231088,0.000231088
42,15199,1.03636,0.78473,0.98011,0.76338,0.68539,0.73708,0.47465,1.11954,0.85707,1.00372,0.00020909,0.00020909,0.00020909
43,15465.3,1.01824,0.73419,0.96693,0.80005,0.69309,0.74665,0.4869,1.1134,0.8311,0.99927,0.000187092,0.000187092,0.000187092
44,15731.2,1.02418,0.73752,0.96303,0.76531,0.68276,0.73744,0.48146,1.12265,0.85133,1.00227,0.000165095,0.000165095,0.000165095
45,15997.1,1.00965,0.73223,0.95677,0.77848,0.68856,0.74593,0.48914,1.11213,0.83444,1.00076,0.000143097,0.000143097,0.000143097
46,16263.2,1.01715,0.71425,0.96634,0.77213,0.69231,0.74689,0.48761,1.10967,0.82842,1.00215,0.000121099,0.000121099,0.000121099
47,16529.2,1.00873,0.71093,0.95932,0.77583,0.68526,0.74376,0.48131,1.1206,0.82789,1.00528,9.91012e-05,9.91012e-05,9.91012e-05
48,16796.2,1.0038,0.70777,0.96224,0.79,0.69474,0.75145,0.4915,1.10662,0.81843,0.99885,7.71034e-05,7.71034e-05,7.71034e-05
49,17063.1,0.97613,0.68288,0.94457,0.79364,0.70513,0.75601,0.4958,1.10251,0.81098,0.99737,5.51056e-05,5.51056e-05,5.51056e-05
50,17329,0.99266,0.68863,0.9487,0.80068,0.7003,0.7569,0.49647,1.10359,0.80678,0.99784,3.31078e-05,3.31078e-05,3.31078e-05
