epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.54,1.55795,2.03957,0.00493,0.72855,0.61762,0.68707,0.43181,1.2816,0.89014,0.00482,0.000369313,0.000369313,0.000369313
2,292.701,1.46465,1.0524,0.00448,0.75971,0.71601,0.78016,0.50379,1.26604,0.79651,0.00479,0.000732324,0.000732324,0.000732324
3,426.474,1.44033,0.94925,0.00445,0.7653,0.75793,0.81322,0.53936,1.23778,0.74087,0.00461,0.001088,0.001088,0.001088
4,559.821,1.40803,0.8859,0.00425,0.77619,0.7445,0.809,0.5303,1.23131,0.72433,0.00449,0.001078,0.001078,0.001078
5,692.998,1.38496,0.83808,0.00415,0.79015,0.70673,0.77924,0.51355,1.21012,0.70324,0.00442,0.001067,0.001067,0.001067
6,826.365,1.35642,0.8029,0.00411,0.82908,0.76699,0.84302,0.56484,1.19289,0.65827,0.00433,0.00105601,0.00105601,0.00105601
7,959.801,1.34145,0.77025,0.00399,0.83207,0.79446,0.86629,0.58572,1.16909,0.62091,0.00428,0.00104501,0.00104501,0.00104501
8,1092.76,1.31606,0.74161,0.00387,0.80432,0.80318,0.86251,0.59301,1.15019,0.67156,0.00411,0.00103401,0.00103401,0.00103401
9,1225.42,1.2991,0.73041,0.00383,0.80869,0.78989,0.86204,0.59407,1.15462,0.62813,0.00414,0.00102301,0.00102301,0.00102301
10,1357.93,1.27851,0.69876,0.00374,0.84464,0.78977,0.87294,0.6125,1.13519,0.59445,0.00405,0.00101201,0.00101201,0.00101201
11,1491.57,1.27299,0.69108,0.0037,0.83376,0.7931,0.87498,0.61453,1.11559,0.5813,0.00399,0.00100101,0.00100101,0.00100101
12,1625.68,1.25489,0.67309,0.0036,0.82779,0.81891,0.88024,0.61686,1.11357,0.5813,0.00393,0.000990012,0.000990012,0.000990012
13,1759.43,1.23554,0.65401,0.00358,0.85408,0.81326,0.88777,0.63059,1.11387,0.58375,0.004,0.000979013,0.000979013,0.000979013
14,1893.25,1.22647,0.64512,0.00352,0.83037,0.83956,0.89925,0.63953,1.07736,0.55406,0.00381,0.000968014,0.000968014,0.000968014
15,2026.18,1.21293,0.63184,0.00349,0.85224,0.84602,0.9038,0.64742,1.07831,0.55342,0.00382,0.000957015,0.000957015,0.000957015
16,2159.85,1.2009,0.61886,0.00344,0.87767,0.84866,0.91428,0.66439,1.0653,0.52633,0.00375,0.000946016,0.000946016,0.000946016
